S. No.,cleaned_text,numeric_label
616,hi baby im sat bloody bus mo wont home wan na somethin later call later ortxt back jess xx,0
617,hi probably much fun get message thought id txt u cos im bored james farting night,0
618,bus way calicut,0
619,hi amy sending free phone number couple days give access adult parties,1
620,great news call freefone claim guaranteed cash gift speak live operator,1
621,im already back home probably,0
622,anyway dont think secure anything lem know want drive south chill,0
623,wrong phone phone answer one assume people dont well,0
624,check maili mailed varma kept copy regarding membershiptake careinsha allah,0
625,im eatin lor goin back work soon e mountain deer show huh watch b liao nice,0
626,omg make wedding chapel frontierville get good stuff,0
627,go home liao ask dad pick,0
628,tomarrow want got court ltdecimalgt come bus stand,0
629,cancelled yeah baby well sounds important understand darlin give ring later fone love kate x,0
630,g wants know fuck,0
631,kkcongratulation,0
632,hey babe hows going ever figure going new years,0
633,hey want anything buy,0
634,free call sir,0
635,match startedindia ltgt,0
636,good morning boytoy hows yummy lips wheres sexy buns think crave need,0
637,hi sexychat girls waiting text text great night chatting send stop stop service,1
638,got takes take part wrc rally oz u lucozade energy text rally le p see packs lucozadecoukwrc itcould u,1
639,hopeing wasnt pissed remember gone sisters something,0
640,wan na art,0
641,oh yes like torture watching england,0
642,ok let u noe leave house,0
643,go e normal pilates intro,0
644,oh yah never cancel leh haha,0
645,hi dear call urgnt dont know whats problem dont want work problem least tell wating reply,0
646,common hearin r u wat r u ur day let ask u something different u smile today gud evng,0
647,g says never answer texts confirmdeny,0
648,call didnt see facebook huh,0
649,sitting mu waiting everyone get suite take shower,0
650,nd time tried contact u u pound prize claim easy call p per min btnationalrate,1
651,dropped em omw back,0
652,took hooch walk toaday fell splat grazed knees everything stayed home see tomorrow,0
653,youve already got flaky parent itsnot supposed childs job support parentnot theyre ride age anyway im supposed support ive hurt unintentional hurt nonetheless,0
654,goal arsenal henry v liverpool henry scores simple shot yards pass bergkamp give arsenal goal margin mins,1
655,way tirupur,0
656,love holiday monday feeling even go dentists hour,0
657,regret inform u nhs made mistakeu never actually bornplease report yor local hospital b terminatedwe r sorry inconvenience,0
658,good day,0
659,im solihull want anything,0
660,anything special,0
661,come online today night,0
662,warner village c colin farrell swat wkend warner village get free med popcornjust show msgticketkioskvalid c tc kiosk reply sony mre film offers,1
663,didnt mean post wrote like many times ive ritten stuff let sit feeling time angry left hit send stop wasnt checked phone got car wasnt said didnt sleep bored wouldnt time clean fold laundry etc least make bed,0
664,im reaching another stops,0
665,free polyphonic ringtone text super get free poly tone week sn pobox nr zs subscription pw,1
666,taka lor wat time u wan come n look us,0
667,ou guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnwh pmtmsgrcvd,1
668,haha first person gon na ask,0
669,oh fucks sake shes like tallahassee,0
670,cant pick phone right pls send message,0
671,half years missed friendship,0
672,want latest video handset anytime network mins half price line rental reply call delivery tomorrow,1
673,convey regards,0
674,send new number,0
675,miserable dont tell u side effects birth control massive gut wrenching cramps first months didnt sleep last night,0
676,worse uses half way stops better complete,0
677,sounds like could lot time spent chastity device boy grins take beatings like good dog going lounge nice long bath,0
678,japanese proverb one u none itu must indian version one let none itleave finally kerala version one stop none make strike,0
679,pls make note shes exposed also find school anyone else vomiting dog cat house let know later,0
680,todays vodafone numbers ending selected receive award number matches call receive award,1
681,times,0
682,poor girl cant go one day lmao,0
683,many things antibiotic used chest abdomen gynae infections even bone infections,0
684,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct,0
685,usual u call ard smth,0
686,whenwhere pick,0
687,alright tylers got minor crisis home sooner thought asap,0
688,yeah open chat click friend lists make list easy pie,0
689,polyphonic tone ur mob every week txt pt st tone free get txtin tell ur friends ptone reply hl info,1
690,worlds happiest frnds never characters dey best understanding differences,0
691,lyricalladief inviting friend reply yes see wwwsmsacuhmmross stop send stop frnd,1
692,know dat feelin pete wuld get em nuther place nuther time mayb,0
693,wat happened cruise thing,0
694,lol oops sorry fun,0
695,hi dis yijue would happy work wif gek,0
696,well know mean texting,0
697,dips cell dead coming u better respond else shall come back,0
698,tension face smiling face waste face innocent face terror face cruel face romantic face lovable face decent face ltgt joker face,0
699,watching cartoon listening music amp eve go temple amp church u,0
700,okey dokey swashbuckling stuff oh,0
701,oh shit thought trip loooooool makes much sense grins sofa reference sleep couch link sent wasnt went trip oh didnt babe go celebration rents,0
702,im really sorry lit hair fire,0
703,sorry datoday wont come playi driving clas,0
704,bored housewives chat n date btnational rate pmin landlines,1
705,free messagethanks using auction subscription service pmsgrcvd skip auction txt unsubscribe txt stop customercare,1
706,nokia phone lovly,0
707,response one powerful weapon occupy place others heart always give response cares u gud nightswt dreamstake care,0
708,hey guy know breathing neck get bud anyway youd able get half track usf tonight,0
709,ok,0
710,thanks bomb date phone wanted say,0
711,yes baby need stretch open pussy,0
712,u,0
713,also north carolina texas atm would go gre site pay test results sent,0
714,im fine hope also,0
715,liked new house,0
716,gain rights wifedont demand iti trying husband toolets see,0
717,maybe find something else instead,0
718,either way works ltgt years old hope doesnt bother,0
719,sthis increase chance winning,0
720,escape theatre going watch kavalan minutes,0
721,pls help tell ashley cant find number oh,0
722,missing toopray inshah allah,0
723,valued vodafone customer computer picked win prize collect easy call,1
724,need details online job,0
725,awesome gon na soon later tonight,0
726,hmmm mayb try e shoppin area one forgot e name hotel,0
727,private account statement shows unredeemed points call identifier code expires,1
728,thats one issues california okay snow manageable,0
729,boys made fun today ok problem sent one message fun,0
730,photoshop makes computer shut,0
731,yay cant wait party together,0
732,oh rite well im best mate pete went week geva longer week,0
733,hope pee burns tonite,0
734,new mobiles must go txt nokia collect today wwwtcbiz optout gbpmtmsg txtauction,1
735,rats hey u ever vote next themes,0
736,po de need job aha,0
737,word checkmate chess comes persian phrase shah maat means king dead goodmorning good day,0
738,long get reply defer admission til next semester,0
739,lol trying make day little interesting,0
740,yup giving problems mayb ill jus leave,0
741,haha thinkin,0
742,going sleep tired travel,0
743,thought bout drink tap spile seven pub gas st broad st canal ok,0
744,,0
745,u r winner u ave specially selected receive cash holiday flights inc speak live operator claim pmin,1
746,im good thinking,0
747,check choose babe videos smsshsexnetun fgkslpopw fgkslpo,1
748,got smaller capacity one quite ex,0
749,hows ur paper,0
750,mark taking forever pick prescription pain coming back,0
751,anything valuable situations first getting second loosing,0
752,home work meh,0
753,ummmmmaah many many happy returns day dear sweet heart happy birthday dear,0
754,call ltgt min thats ok,0
755,fyi im usf swing room whenever,0
756,e admin building might b slightly earlier ill call u im reaching,0
757,honey pls find much sell predicte nigeria many times used important reply monday,0
758,dont worry though understand important put place poorly thought punishment face worst thing ever happened brb gon na go kill,0
759,whats oga left phone home saw ur messages hope good great weekend,0
760,private account statement shows unredeemed bonus points claim call identifier code expires,1
761,call u finish come n pick u,0
762,sorry delay yes masters,0
763,er hello things didnt quite go plan limping slowly home followed aa exhaust hanging,0
764,plan manage,0
765,reverse cheating mathematics,0
766,guy car shop flirting got phone number paperwork called texted im nervous course may address call boss tell knowing may get fired,0
767,cool tyler take gon na buy drop place later tonight total order quarter got enough,0
768,dont know shes getting messages,0
769,come home dont want u miserable,0
770,santa calling would little ones like call santa xmas eve call book time callsppm last mins tc wwwsantacallingcom,1
771,urgent nd attempt contact u prize yesterday still awaiting collection claim call,1
772,saw guys dolls last night patrick swayze great,0
773,sorry uncle ill keep touch,0
774,u ask next sat make im ok lor,0
775,gd luck ur exams,0
776,send resume,0
777,yup izzit still raining heavily cos im e mrt cant c outside,0
778,opposite side dropped,0
779,thanx yup coming back sun finish dinner going back hotel time flies tog exactly mth today hope well haf many mths come,0
780,thk wat eat tonight,0
781,holy living christ taking long,0
782,urgent call landline complimentary ibiza holiday cash await collection sae tcs po box sk wp ppm,1
783,indeed way either,0
784,especially since talk boston personal statement lol woulda changed realized said nyc says boston,0
785,call senthil hsbc,0
786,yup hey one day fri ask miwa jiayin take leave go karaoke,0
787,sen told going join uncle finance cbe,0
788,cant see join denis mina denis want alone time,0
789,u r beautiful girl ive ever seen u r baby come c common room,0
790,sorry completely forgot pop em round week still,0
791,quite lor dun tell wait get complacent,0
792,many people seems special first sight remain special till last sight maintain till life ends shjas,0
793,u repeat e instructions wats e road name ur house,0
794,ok u tell wat time u coming later lor,0
795,hi mobile ltgt added contact list wwwfullonsmscom great place send free sms people visit fullonsmscom,0
796,hii got money da,0
797,cheers lou yeah goodnite shame u neva came c ya gailxx,0
798,watever relation u built dis world thing remains atlast iz lonlines lotz n lot memories feeling,0
799,im sure still available though,0
800,unique user id removal send stop customer services,1
801,whens radio show,0
802,text way cup stop work bus,0
803,hitechnical supportproviding assistance us customer call email,0
804,prepare pleasured,0
805,lovely night xxx,0
806,ard rest ard leastwhich price bedrm,0
807,im home doc gave pain meds says everything fine,0
808,thanks continued support question week enter u draw cash name new us president txt ans,1
809,urgent mobile number awarded prize guaranteed call land line claim valid hrs ppm,1
810,hey looks like wrong one kappa guys numbers still phone want text see hes around,0
811,dont make life stressfull always find time laugh may add years life surely adds life ur years gud niswt dreams,0
812,u wan haf lunch im da canteen,0
813,ok lor u wan go look u,0
814,cashbincouk get lots cash weekend wwwcashbincouk dear welcome weekend got biggest best ever cash give away,1
815,well boy glad g wasted night applebees nothing,0
816,weekly coolmob tones ready download weeks new tones include crazy frogaxel f akonlonely black eyeddont p info n,1
817,youre still maybe leave credit card get gas get back like told,0
818,thanx u darlinim cool thanx bday drinks nite morrow take care c u soonxxx,0
819,beauty life next second hides thousands secrets wish every second wonderful ur life gud n,0
820,put sign choose number pin show right,0
821,orh tot u say still dun believe,0
822,camera awarded sipix digital camera call fromm landline delivery within days,1
823,thinking u x,0
824,hospital da return home evening,0
825,ya nice ready thursday,0
826,many happy returns day wish happy birthday,0
827,keep seeing weird shit bein woah realising actually reasonable im oh,0
828,pizza u want,0
829,bought test yesterday something lets know exact day u ovulatewhen get u wks pls pls dont fret know u r worried pls relax also anything ur past history u need tell,0
830,nt driving even many reasons called bbdthts chikku hw abt dvg coldheard tht vinobanagar violence hw conditionand hw ru problem,0
831,possession especially first offense,0
832,oh kafter placement ah,0
833,buy space invaders chance win orig arcade game console press games arcade std wap charge see ocoukgames terms settings purchase,1
834,good morning dear shijutta great amp successful day,0
835,wat time r going xins hostel,0
836,keng rocking ashes,0
837,dont know ask brother nothing problem thing told,0
838,ive reached already,0
839,career tel added u contact indyarockscom send free sms remove phonebook sms ltgt,0
840,mobile mths update latest cameravideo phones free keep ur number get extra free minstexts text yes call,1
841,jason says cool pick place like hour,0
842,therell minor shindig place later tonight interested,0
843,free game get rayman golf free games arcade st get ur games settings reply post save activ press key arcade termsapply,1
844,hello peach cake tasts lush,0
845,im home love still awake loving kiss,0
846,yup anything lor u dun wan ok,0
847,forgot tell smth like number sections clearer,0
848,aiyo lesson early im still sleepin haha okie u go home liao den confirm w lor,0
849,uncles atlanta wish guys great semester,0
850,k addie amp art ill get home,0
851,hey happened u switch ur cell whole day isnt good u care give call tomorrow,0
852,min go lunch,0
853,oops thk dun haf enuff go check tell,0
854,big brothers really scraped barrel shower social misfits,0
855,thats cool princess cover face hot sticky cum,0
856,huh slow tot u reach long ago liao u days leh,0
857,ya knw u vl givits ok thanks kanoanyway enjoy wit ur family wit st salary,0
858,haha awesome might need take doin tonight,0
859,say bold torch later one torch bold,0
860,wif family booking tour package,0
861,wow healthy old airport rd lor cant thk anything else ill b bathing dog later,0
862,hey anyway,0
863,yar say got error,0
864,mmmmmmm snuggles deep contented sigh whispers fucking love much barely stand,0
865,anytime,0
866,liked new mobile,0
867,win winner mr foley ipod exciting prizes soon keep eye ur mobile visit wwwwincouk,1
868,yes fine,0
869,dawhats plan,0
870,okey dokey ill bit sorting stuff,0
871,guy gets used dumb realize,0
872,urgent mobile awarded bonus caller prize nd attempt contact call boxqu,1
873,pls give food preferably pap slowly loads sugar take hour give water slowly,0
874,tessypls favor pls convey birthday wishes nimyapls dnt forget today birthday shijas,0
875,march ending ready call sure problem capital never complete far hows work ladies,0
876,surly ill give coming review,0
877,ok prob,0
878,didnt try g decided head,0
879,hmmmbut give one day,0
880,eatin lunch,0
881,pls dont play others life,0
882,alright well bring see like ltgt mins,0
883,life means lot love life love people life world calls friends call world ge,0
884,ok u take shopping u get paid,0
885,haha yeah oz kind shitload,0
886,staying town,0
887,thats cool hell night lem know youre around,0
888,sry dajst nw came home,0
889,good thing im getting connection bw,0
890,wewa iriver mb,0
891,ready call,0
892,hi babe chloe r u smashed saturday night great weekend u missing sp visionsmscom text stop stop ptext,1
893,im leaving house,0
894,forgot ask smth theres card da present lei want write smth sign,0
895,customer service announcement recently tried make delivery unable please call reschedule ref,1
896,probably im almost gas get cash tomorrow,0
897,didnt get ur full msgsometext missing send,0
898,born god said oh another idiot born god said oh competition knew one day two become freinds forever,0
899,im realy soz imat mums nite moro,0
900,send print outs da,0
901,nottel software name,0
902,ok set let u noe e details later,0
903,mum going robinson already,0
904,yes please swimming,0
905,ladies first genus second k,0
906,ok prob,0
907,call tell infront call,0
908,cant pick phone right pls send message,0
909,message great doctor india drink appy fizz contains cancer causing age,0
910,private account statement shows unredeemed points call identifier code expires,1
911,k ill work something,0
912,prasanth ettans mother passed away last night pray family,0
913,hope great day,0
914,lol yes add spice day,0
915,r e meeting tmr,0
916,xmas reward waiting computer randomly picked loyal mobile customers receive reward call,1
917,finally happened aftr decades beer cheaper petrol goverment expects us drink dont drive,0
918,please protect ethreats sib never asks sensitive information like passwordsatmsms pin thru email never share password anybody,0
919,okay going sleep later,0
920,god created gap btwn ur fingers dat sum vry special fill gaps holding ur hands plz dont ask created much gap legs,0
921,tried contact reply offer video phone anytime network mins half price line rental camcorder reply call,1
922,planning come chennai,0
923,u got persons story,0
924,sorry din lock keypad,0
925,ripped get mobile content wwwclubmobycom call polytruepixringtonesgames six downloads,1
926,havent,0
927,hide anythiing keeping distance,0
928,course guess gods got hold right,0
929,captain vijaykanth comedy captain tvhe drunken,0
930,oh ho first time u use type words,0
931,k k pa lunch aha,0
932,come din c yup cut hair,0
933,wont move morphine,0
934,oh wow thats gay firmware update help,0
935,im meeting call later,0
936,got hella gas money want go grand nature adventure galileo little bit,0
937,everybody fun evening miss,0
938,saturday sunday holiday difficult,0
939,todays voda numbers ending selected receive reward match please call quoting claim code standard rates apply,1
940,please call customer service representative ampm guaranteed cash prize,1
941,lol knew saw dollar store,0
942,im bus love,0
943,jus finish blowing hair u finish dinner already,0
944,u need presnts always bcz u cant mis love jeevithathile irulinae neekunna prakasamanu sneham prakasam ennal prabha mns prabha islove got dont mis,0
945,finally came fix ceiling,0
946,received understood n acted upon,0
947,long fuckin showr,0
948,sorry ill call later meeting,0
949,nvm im going wear sport shoes anyway im going late leh,0
950,good think could send pix would love see top bottom,0
951,called dad oredi,0
952,sunshine quiz win super sony dvd recorder canname capital australia text mquiz b,1
953,hows favourite person today r u workin hard couldnt sleep last nite nearly rang u,0
954,much got cleaning,0
955,sorry da gone mad many pending works,0
956,wat time finish,0
957,glad talking,0
